Column 1,Compte_Twitter,geoloc,lat,long,ville,nbre_oeuvre
Palluel,NON,"50.267222222222,3.0986111111111",50.267222222222,3.0986111111111,Palluel,1
Pantin,OUI,"48.898055555556,2.4072222222222",48.898055555556,2.4072222222222,Pantin,1
Paris,OUI,"48.85666666666667,2.352222222222222",48.85666666666667,2.352222222222222,Paris (75),1
,OUI,,,,,
Saint-Étienne-de-Fursac,NON,"46.144166666667,1.5141666666667",46.144166666667,1.5141666666667,Paulhac,1
Penmarch,NON,"47.812222222222,-4.3377777777778",47.812222222222,-4.3377777777778,Penmarch,1
Pérouse,NON,"47.636944444444,6.8905555555556",47.636944444444,6.8905555555556,Pérouse,1
Perthes-lès-Hurlus,NON,"49.1809614,4.6238894",49.1809614,4.6238894,Perthes-lès-Hurlus,1
Peschadoires,NON,"45.826111111111,3.4925",45.826111111111,3.4925,Peschadoires,1
Pierrefitte-en-Auge,NON,"49.258333333333,0.20194444444444",49.258333333333,0.20194444444444,Pierrefitte-en-Auge,1
Pierrefonds,NON,"49.351111111111,2.9802777777778",49.351111111111,2.9802777777778,Pierrefonds,1
Pleumeur-Bodou,NON,"48.773055555556,-3.5177777777778",48.773055555556,-3.5177777777778,Pleumeur-Bodou,1
Plougasnou,NON,"48.695555555556,-3.7894444444444",48.695555555556,-3.7894444444444,Plougasnou,1
Plougastel-Daoulas,NON,"48.3725,-4.3705555555556",48.3725,-4.3705555555556,Plougastel-Daoulas,1
Plouha,NON,"48.675555555556,-2.9294444444444",48.675555555556,-2.9294444444444,Plouha,1
Poligny,NON,"46.836111111111,5.7077777777778",46.836111111111,5.7077777777778,Poligny,1
Pont-Croix,NON,"48.041944444444,-4.4891666666667",48.041944444444,-4.4891666666667,Pont-Croix,1
Pont-de-l'Arche,OUI,"49.302777777778,1.1538888888889",49.302777777778,1.1538888888889,Pont-de-l'Arche,1
Pont-du-Château,NON,"45.798333333333,3.2483333333333",45.798333333333,3.2483333333333,Pont-du-Château,1
Pontarlier,NON,"46.906111111111,6.3547222222222",46.906111111111,6.3547222222222,Pontarlier,1
Aix-en-Provence,OUI,"43.527777777778,5.4455555555556",43.527777777778,5.4455555555556,Provence,1
Quiberon,NON,"47.483333333333,-3.1205555555556",47.483333333333,-3.1205555555556,Quiberon,1
Alpes Isère Tour,NON,,,,Rhône-Alpes,1
Rochemaure,NON,"44.5875,4.7038888888889",44.5875,4.7038888888889,Rochemaure,1
Rolleboise,NON,"49.018888888889,1.6075",49.018888888889,1.6075,Rolleboise,1
Rueil-Malmaison,OUI,"48.877777777778,2.1883333333333",48.877777777778,2.1883333333333,Rueil-Malmaison,1
Sail-sous-Couzan,NON,"45.733888888889,3.9705555555556",45.733888888889,3.9705555555556,Sail-sous-Couzan,1
Saint-Aignan,NON,"48.181388888889,-3.0138888888889",48.181388888889,-3.0138888888889,Saint-Aignan,1
Saint-Aubin-sur-Quillebeuf,NON,"49.4625,0.52638888888889",49.4625,0.52638888888889,Saint-Aubin-sur-Quillebeuf,1
Saint-Briac-sur-Mer,NON,"48.620277777778,-2.1338888888889",48.620277777778,-2.1338888888889,Saint-Briac-sur-Mer,1
Saint-Cergues,NON,"46.235833333333,6.3213888888889",46.235833333333,6.3213888888889,Saint-Cergues,1
Saint-Cirq-Lapopie,NON,"44.464444444444,1.6697222222222",44.464444444444,1.6697222222222,Saint-Cirq-Lapopie,1
Saint-Denis,OUI,"-20.878888888889,55.448055555556",-20.878888888889,55.448055555556,Saint-Denis,1
Saint-Didier-d'Allier,NON,"44.987222222222,3.6933333333333",44.987222222222,3.6933333333333,Saint-Didier-d'Allier,1
Saint-Georges-de-Didonne,NON,"45.605277777778,-0.99861111111111",45.605277777778,-0.99861111111111,Saint-Georges-de-Didonne,1
